Date,Snow Water Eq,Snow Depth,Precip,Temp Start,Temp Max,Temp Min,Temp Avg
2018-10-07,0.0,0,0.9,39,47.0,34.0,41.0
2018-10-08,0.0,0,0.9,35,45.0,33.0,40.0
2018-10-09,0.0,0,0.9,36,39.0,35.0,36.0
2018-10-10,0.3,2,2.6,36,41.0,30.0,35.0
2018-10-11,0.0,0,2.6,32,43.0,29.0,35.0
2018-10-12,0.0,0,2.6,32,49.0,31.0,39.0
2018-10-13,0.0,0,2.6,36,42.0,30.0,37.0
2018-10-14,0.0,0,2.6,30,40.0,26.0,31.0
2018-10-15,0.0,0,2.6,33,46.0,31.0,39.0
2018-10-16,0.0,0,2.6,36,49.0,33.0,40.0
2018-10-17,0.0,0,2.6,37,55.0,38.0,46.0
2018-10-18,0.0,0,2.6,39,55.0,37.0,45.0
2018-10-19,0.0,0,2.6,48,58.0,39.0,48.0
2018-10-20,0.0,0,2.6,48,60.0,42.0,53.0
2018-10-21,0.0,0,2.6,52,59.0,44.0,52.0
2018-10-22,0.0,0,2.6,49,57.0,45.0,51.0
2018-10-23,0.0,0,2.6,49,52.0,39.0,47.0
2018-10-24,0.0,0,2.6,42,53.0,37.0,45.0
2018-10-25,0.0,0,2.6,39,49.0,33.0,42.0
2018-10-26,0.0,0,2.6,46,55.0,41.0,48.0
2018-10-27,0.0,0,2.6,49,52.0,40.0,47.0
2018-10-28,0.0,0,2.6,50,52.0,38.0,47.0
2018-10-29,0.0,0,2.6,38,38.0,30.0,34.0
2018-10-30,0.0,0,2.6,30,37.0,27.0,32.0
2018-10-31,0.0,0,2.6,28,40.0,28.0,34.0
2018-11-01,0.2,1,2.8,40,46.0,38.0,42.0
2018-11-02,0.2,1,2.8,40,44.0,33.0,40.0
2018-11-03,0.1,1,2.8,34,39.0,29.0,35.0
2018-11-04,0.0,0,2.9,39,42.0,33.0,38.0
2018-11-05,0.0,0,2.9,33,36.0,30.0,33.0
2018-11-06,0.1,0.0,2.9,32,33.0,23.0,29.0
2018-11-07,0.0,0.0,2.9,23,35.0,23.0,29.0
2018-11-08,0.0,0.0,2.9,28,34.0,21.0,28.0
2018-11-09,0.1,0.0,2.9,24,39.0,21.0,31.0
2018-11-10,0.3,0.0,3.0,32,34.0,24.0,29.0
2018-11-11,0.0,0,3.0,25,33.0,18.0,25.0
2018-11-12,0.0,0,3.0,21,32.0,19.0,26.0
2018-11-13,0.0,0.0,3.0,26,43.0,25.0,35.0
2018-11-15,0.3,0.0,3.1,41,47.0,31.0,37.0
2018-11-17,0.3,0.0,3.1,35,39.0,23.0,30.0
2018-11-18,0.2,0.0,3.0,28,37.0,21.0,27.0
2018-11-14,0.3,1,3.1,37,45.0,31.0,37.0
2018-11-16,0.3,1,3.1,33,45.0,31.0,37.0
2018-11-19,0.1,1,3.1,23,38.0,23.0,31.0
2018-11-20,0.3,1,3.1,32,45.0,31.0,39.0
2018-11-21,0.4,0.0,3.1,39,44.0,37.0,42.0
2018-11-22,0.4,0.0,3.1,42,42.0,30.0,35.0
2018-11-24,1.3,3.0,3.9,29,28.0,19.0,26.0
2018-11-23,0.6,2,3.3,30,35.0,28.0,31.0
2018-11-25,1.2,5,3.9,22,33.0,18.0,24.0
2018-11-26,1.2,5,3.9,20,36.0,20.0,30.0
2018-11-27,1.3,5,4.0,35,39.0,33.0,35.0
2018-11-28,1.6,6,4.3,34,35.0,30.0,33.0
2018-11-29,1.7,6.0,4.4,32,35.0,27.0,31.0
2018-11-30,1.7,6.0,4.3,30,30.0,25.0,28.0
2018-12-01,2.4,12,4.9,26,28.0,25.0,26.0
2018-12-02,3.3,20,5.8,25,26.0,22.0,24.0
2018-12-03,3.9,23.0,6.4,23,25.0,12.0,20.0
2018-12-07,3.7,19.0,6.3,21,32.0,20.0,27.0
2018-12-08,3.9,18.0,6.4,29,31.0,19.0,26.0
2018-12-04,3.8,22.0,6.3,12,26.0,10.0,17.0
2018-12-05,3.8,21.0,6.3,19,26.0,8.0,14.0
2018-12-06,3.8,20.0,6.3,10,22.0,11.0,17.0
2018-12-09,3.9,18.0,6.4,23,33.0,21.0,29.0
2018-12-10,4.0,17.0,6.5,31,32.0,18.0,28.0
2018-12-11,4.0,16.0,6.5,22,31.0,18.0,26.0
2018-12-12,4.1,16,6.6,30,34.0,17.0,24.0
2018-12-13,4.6,21,6.7,17,33.0,29.0,32.0
2018-12-14,4.7,21,6.7,31,39.0,27.0,35.0
2018-12-15,5.1,22,6.8,29,38.0,20.0,30.0
2018-12-17,5.2,21,6.9,38,37.0,31.0,34.0
2018-12-18,5.7,22,7.4,33,37.0,32.0,34.0
2018-12-19,6.4,25,7.9,32,33.0,26.0,30.0
2018-12-20,6.4,24,7.9,30,40.0,30.0,36.0
2018-12-21,6.4,25,7.9,31,30.0,18.0,24.0
2018-12-22,6.4,26,7.9,18,28.0,13.0,21.0
2018-12-23,6.4,25,7.9,28,33.0,26.0,30.0
2018-12-24,6.6,26,8.0,31,34.0,29.0,30.0
2018-12-25,7.0,28,8.4,29,34.0,18.0,28.0
2018-12-26,7.0,28,8.4,25,29.0,16.0,23.0
2018-12-27,7.1,28,8.4,23,25.0,16.0,21.0
2018-12-28,7.0,28,8.4,19,24.0,14.0,20.0
2018-12-29,7.1,27,8.4,22,30.0,22.0,27.0
2018-12-30,7.4,28,8.7,30,30.0,18.0,25.0
2018-12-31,8.0,33,8.9,18,20.0,8.0,17.0
2019-01-01,8.0,32,8.9,12,26.0,3.0,15.0
2019-01-02,8.0,31,8.9,13,31.0,13.0,24.0
2019-01-03,8.0,31,8.9,26,37.0,24.0,29.0
2019-01-04,8.1,30,9.0,30,38.0,30.0,34.0
2019-01-05,8.2,30,9.1,34,38.0,32.0,35.0
2019-01-06,8.2,29,9.1,33,33.0,27.0,29.0
2019-01-07,9.1,37,9.8,28,28.0,14.0,21.0
2019-01-08,9.5,38,10.0,19,39.0,21.0,33.0
2019-01-09,9.6,37,10.1,38,40.0,35.0,38.0
2019-01-10,9.7,35,10.1,36,38.0,24.0,32.0
2019-01-11,9.7,35,10.2,25,37.0,22.0,32.0
2019-01-12,9.7,34,10.2,34,41.0,22.0,35.0
2019-01-13,9.7,34,10.2,24,45.0,23.0,30.0
2019-01-14,9.7,34,10.2,33,36.0,30.0,33.0
2019-01-15,9.7,34,10.2,31,32.0,27.0,30.0
2019-01-16,9.9,35,10.2,31,36.0,29.0,30.0
2019-01-17,10.3,36,10.6,33,36.0,29.0,33.0
2019-01-18,10.9,41,11.0,29,30.0,24.0,27.0
2019-01-19,11.3,42,11.2,28,41.0,28.0,36.0
2019-01-20,12.0,46,12.1,37,39.0,28.0,35.0
2019-01-21,12.0,40,12.1,28,28.0,19.0,24.0
2019-01-22,12.0,41,12.1,19,27.0,15.0,22.0
2019-01-23,12.0,40,12.1,23,32.0,23.0,29.0
2019-01-24,12.1,42,12.3,28,35.0,22.0,28.0
2019-01-25,12.1,42,12.4,24,35.0,22.0,29.0
